matches	category	city	state	title	url
0	Hardware	Châtellerault	Vienne	Architecte Hardware - Produits Navigation (F/H)	https://careers.thalesgroup.com/global/en/job/R0311480/Architecte-Hardware-Produits-Navigation-F-H
0	Engineering and Technical specialities	Vélizy-Villacoublay	Yvelines	Senior Designer - Thales Design System	https://careers.thalesgroup.com/global/en/job/R0302225/Senior-Designer-Thales-Design-System
1	Engineering and Technical specialities	Vélizy-Villacoublay	Yvelines	AI Experience and Design Lead F/H	https://careers.thalesgroup.com/global/en/job/R0317291/AI-Experience-and-Design-Lead-F-H
0	Engineering and Technical Management	Limours	Essonne	Architecte et PDA innovation Radar F/H	https://careers.thalesgroup.com/global/en/job/R0319970/Architecte-et-PDA-innovation-Radar-F-H
0	Engineering and Technical Management	La Ferté-Saint-Aubin	Loiret	Ingénieur Amélioration Continue F/H	https://careers.thalesgroup.com/global/en/job/R0308036/Ingénieur-Amélioration-Continue-F-H
0	Software	Vélizy-Villacoublay	Yvelines	INGENIEUR(E) ETUDE ET DEVELOPPEMENT C/ADA (H/F)	https://careers.thalesgroup.com/global/en/job/R0320092/INGENIEUR-E-ETUDE-ET-DEVELOPPEMENT-C-ADA-H-F
0	Software	Valbonne	Alpes-Maritimes	Technical Product Manager "Cards" (F/H)	https://careers.thalesgroup.com/global/en/job/R0302823/Technical-Product-Manager-Cards-F-H
0	Engineering and Technical specialities	Toulouse	Haute-Garonne	Security Engineer SOC (F/H)	https://careers.thalesgroup.com/global/en/job/R0309399/Security-Engineer-SOC-F-H
0	Engineering and Technical Management	Massy	Essonne	Engineering Delivery Manager - Projet (F/H)	https://careers.thalesgroup.com/global/en/job/R0324766/Engineering-Delivery-Manager-Projet-F-H
0	Industry	Brest	Finistere	Technicien Test / Intégration Treuils (H/F)	https://careers.thalesgroup.com/global/en/job/R0315499/Technicien-Test-Intégration-Treuils-H-F
0	Software	Vélizy-Villacoublay	Yvelines	Ingénieur(e) Intégration, tests et validation Logiciel Confirmé (F/H)	https://careers.thalesgroup.com/global/en/job/R0320049/Ingénieur-e-Intégration-tests-et-validation-Logiciel-Confirmé-F-H
0	Hardware	Gennevilliers	Hauts-de-Seine	Responsable développement équipements électroniques F/H	https://careers.thalesgroup.com/global/en/job/R0306702/Responsable-développement-équipements-électroniques-F-H
0	Software	Carquefou	Loire-Atlantique	Tech Lead (F/H)	https://careers.thalesgroup.com/global/en/job/R0312647/Tech-Lead-F-H
0	System	Vélizy-Villacoublay	Yvelines	Ingénieur(e) Systèmes spécification des exigences	https://careers.thalesgroup.com/global/en/job/R0308321/Ingénieur-e-Systèmes-spécification-des-exigences
0	Industry	Élancourt	Yvelines	Ingénieur Support Produit F/H	https://careers.thalesgroup.com/global/en/job/R0304633/Ingénieur-Support-Produit-F-H
0	Software	Valbonne	Alpes-Maritimes	Ingénieur Etudes et Développement C++ (F/H)	https://careers.thalesgroup.com/global/en/job/R0310703/Ingénieur-Etudes-et-Développement-C-F-H
0	System	Limours	Essonne	Architecte Software Digital Radar F.H	https://careers.thalesgroup.com/global/en/job/R0324211/Architecte-Software-Digital-Radar-F-H
